,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
7552,2.0,2.0,0.04,25.65,23.1,78.0,24.0,0
7558,2.0,2.0,0.04,25.65,23.1,78.0,24.0,-2
7561,1.0,1.0,0.04,25.65,23.1,78.0,24.0,-1
7568,4.0,2.0,0.04,25.65,23.1,78.0,24.0,0
7569,3.0,1.0,0.04,25.65,23.1,78.0,24.0,0
7572,3.0,2.0,0.04,25.65,23.1,78.0,24.0,1
7574,1.0,1.0,0.04,25.65,23.1,78.0,24.0,-2
7575,1.0,2.0,0.04,25.65,23.1,78.0,24.0,-1
7579,2.0,1.0,0.04,25.65,23.1,78.0,24.0,0
7580,2.0,2.0,0.04,25.65,23.1,78.0,24.0,1
7597,1.0,1.0,0.04,25.65,23.1,78.0,24.0,0
7598,3.0,2.0,0.1,23.7,23.1,72.0,20.4,0
7599,2.0,1.0,0.1,23.7,23.1,72.0,20.4,1
7600,1.0,1.0,0.1,23.7,23.1,72.0,20.4,0
7601,1.0,1.0,0.1,23.7,23.1,72.0,20.4,-1
7602,2.0,1.0,0.1,23.7,23.1,72.0,20.4,-1
7604,2.0,1.0,0.1,23.7,23.1,72.0,20.4,0
7605,1.0,2.0,0.1,23.7,23.1,72.0,20.4,-1
7606,2.0,2.0,0.1,23.7,23.1,72.0,20.4,-1
7609,2.0,2.0,0.1,23.7,23.1,72.0,20.4,0
7610,3.0,2.0,0.1,23.7,23.1,72.0,20.4,-1
7614,4.0,2.0,0.1,23.7,23.1,72.0,20.4,-1
7627,2.0,1.0,0.1,23.7,23.1,72.0,20.4,-2
7629,3.0,1.0,0.1,23.7,23.1,72.0,20.4,0
7634,4.0,2.0,0.1,23.0,23.1,48.0,7.1,0
7635,3.0,1.0,0.1,23.0,23.1,48.0,7.1,0
7636,4.0,1.0,0.1,23.0,23.1,48.0,7.1,-1
7637,5.0,2.0,0.1,23.0,23.1,48.0,7.1,-1
7638,3.0,2.0,0.1,23.0,23.1,48.0,7.1,-1
7639,2.0,1.0,0.1,23.0,23.1,48.0,7.1,0
7640,2.0,1.0,0.1,23.0,23.1,48.0,7.1,-1
7641,2.0,2.0,0.1,23.0,23.1,48.0,7.1,-2
7644,3.0,2.0,0.1,23.0,23.1,48.0,7.1,0
7648,2.0,2.0,0.1,23.0,23.1,48.0,7.1,-1
7651,3.0,1.0,0.1,23.0,23.1,48.0,7.1,-1
7664,2.0,2.0,0.1,23.0,23.1,48.0,7.1,0
7667,2.0,2.0,0.1,23.0,23.1,48.0,7.1,1
7670,4.0,2.0,0.1,24.5,23.1,76.0,23.0,0
7671,1.0,1.0,0.1,24.5,23.1,76.0,23.0,-1
7672,1.0,2.0,0.1,24.5,23.1,76.0,23.0,-1
7673,3.0,1.0,0.1,24.5,23.1,76.0,23.0,0
7675,2.0,1.0,0.1,24.5,23.1,76.0,23.0,0
7676,2.0,2.0,0.1,24.5,23.1,76.0,23.0,-1
7680,2.0,1.0,0.1,24.5,23.1,76.0,23.0,-1
7681,2.0,2.0,0.1,24.5,23.1,76.0,23.0,0
7683,3.0,2.0,0.1,24.5,23.1,76.0,23.0,-1
7692,3.0,1.0,0.1,24.5,23.1,76.0,23.0,-1
7699,3.0,2.0,0.1,24.5,23.1,76.0,23.0,0
7712,1.0,2.0,0.1,28.3,23.1,62.5,26.4,2
7713,2.0,2.0,0.1,28.3,23.1,62.5,26.4,2
7714,1.0,1.0,0.1,28.3,23.1,62.5,26.4,0
7715,2.0,1.0,0.1,28.3,23.1,62.5,26.4,0
7716,1.0,2.0,0.1,28.3,23.1,62.5,26.4,0
7717,2.0,2.0,0.1,28.3,23.1,62.5,26.4,1
7720,1.0,1.0,0.1,28.3,23.1,62.5,26.4,1
7721,2.0,1.0,0.1,28.3,23.1,62.5,26.4,1
7722,1.0,1.0,0.1,28.3,23.1,62.5,26.4,2
7728,1.0,2.0,0.1,28.3,23.1,62.5,26.4,1
7730,4.0,1.0,0.1,28.3,23.1,62.5,26.4,2
7737,2.0,1.0,0.1,28.3,23.1,62.5,26.4,2
7743,3.0,2.0,0.1,28.3,23.1,62.5,26.4,1
